Activity,Date,Time,Location,TIC
揚琴,10/12/2025,10:00-13:00,Hall,志
笙、嗩吶,10/12/2025,10:00-13:00,Hall,志
琵琶柳琴A,10/12/2025,10:00-13:00,Hall,志
琵琶柳琴B,10/12/2025,10:00-13:00,Hall,志
中樂團,10/12/2025,10:00-13:00,Hall,志
04-陶藝班(P.1-P.6),10/12/2025,10:00-13:00,Hall,志
20-足球興趣班(P.1- P.3),10/12/2025,10:00-13:00,Hall,志
管弦樂團,10/12/2025,10:00-13:00,Hall,志
數學拔尖A1班,10/12/2025,10:00-13:00,Hall,志
數學拔尖A2班,10/12/2025,10:00-13:00,Hall,志
花式跳繩校隊A隊 ,10/12/2025,10:00-13:00,Hall,志
花式跳繩校隊B隊,10/12/2025,10:00-13:00,Hall,志
鼓樂培訓班,10/12/2025,10:00-13:00,Hall,志
鼓樂隊,10/12/2025,10:00-13:00,Hall,志
09-跆拳道(P.1-P.6 ),10/12/2025,10:00-13:00,Hall,志
10-羽毛球A班(P.2-P.3),10/12/2025,10:00-13:00,Hall,志
11-羽毛球B班(P.4- P.6),10/12/2025,10:00-13:00,Hall,志
12-羽毛球C班(P.3- P.6進階班),10/12/2025,10:00-13:00,Hall,志
16-乒乓球 1教練1學生 訓練班(P.1- P.6),10/12/2025,10:00-13:00,Hall,志
17-乒乓球1教練對2學生訓練班(P.1- P.6),10/12/2025,10:00-13:00,Hall,志
23-花式跳繩A班(P.2-3),10/12/2025,10:00-13:00,Hall,志
24-花式跳繩B班(P.4-6),10/12/2025,10:00-13:00,Hall,志
